Location,2016,2017,2018,2019,2020
Indonesia,49,43,36,25,26
Malaysia,7,7,11,11,4
Philippines,10,22,10,5,8
Singapore Straits,2,4,3,12,23
Thailand,,,,,1
China,7,2,3,3,
Vietnam,9,2,4,2,4
Bangladesh,3,11,12,,4
India,14,4,6,4,6
Brazil,,,4,2,7
Colombia,4,6,1,3,1
Dominican Republic,,,,1,
Ecuador,,2,4,3,5
Guyana,2,1,2,,
Haiti,4,1,3,2,5
Mexico,1,,,1,4
Panama,,,,1,
Peru,11,2,4,10,8
Venezuela,5,12,11,6,
Algeria,,,,1,
Angola,2,1,,,6
Benin,1,,5,3,11
Cameroon,,,7,6,
Dem. Republic ofCongo,2,,1,1,
Dem. Rep. of Sao Tome & Principe,,1,,1,
Equatorial Guinea,,,,2,3
Gabon,,,,1,2
Ghana,3,1,10,3,9
Guinea,3,2,3,2,5
Gulf of Aden*,1,3,1,,
Ivory Coast,1,1,1,1,3
Kenya,2,1,,1,
Liberia,,,,2,2
Morocco,1,,,2,
Mozambique,1,2,2,3,4
Nigeria,36,33,48,35,35
Red Sea*,,1,,,
Sao Tome and Principe,,,,,2
Senegal,,1,,,
Sierra Leone,,4,,1,
Somalia*,1,5,2,,
South Africa,1,,,,
The Congo,6,1,6,3,3
Togo,1,,1,3,3
Iraq,,,,,1
Oman,,1,,,
Yemen,1,3,,,
